"","hcid","UTMX","UTMY","elev","closest_clinic","catchment_area","closest_river","drought_i","prec","ndvi","tmax","tmin","tmean","tmeanC","date2","name","date","rdtp_u5","rdtp_a5","pos_rdt","yearmon"
"50",107,477702.886,8187492.626,1140,12721.14216,241078519.7,4584.596115,39.0788568769183,3.28999996185303,0.465857139655522,299.938860212053,286.595001220703,293.266930716378,20.1169307163784,2012-05-13,"Macha",2012-05-07,4,7,7,May 2012
"51",106,475899,8169766,1268,14303.26344,419002790.9,5722.102797,39.0788568769183,3.28999996185303,0.465857139655522,299.938860212053,286.595001220703,293.266930716378,20.1169307163784,2012-05-13,"Kamwanu",2012-05-07,0,0,0,May 2012
"52",105,486462,8245784,1011,20171.62066,1028382139,15745.78486,33.8454284667969,0,0.517714296068464,300.191432407924,286.492715018136,293.34207371303,20.1920737130302,2012-05-13,"Kabulamwanda",2012-05-07,1,3,3,May 2012
"53",104,448856,8191328,1219,13440.04423,448935561.7,2811.055333,31.9200003487723,1.38300001621246,0.514857138906206,300.808855329241,286.948717389788,293.878786359514,20.7287863595145,2012-05-13,"Habulile",2012-05-07,2,5,5,May 2012
"54",103,492896,8226666,1011,20171.62066,818234640.6,7359.362935,32.2239990234375,0,0.507714292832783,300.54742867606,286.93985421317,293.743641444615,20.5936414446149,2012-05-13,"Chitongo",2012-05-07,0,1,1,May 2012
"55",102,488710,8193870,1100,6747.577047,102078346.6,3139.40613,33.3361440386091,1.75199997425079,0.498142855507987,300.457715715681,287.028856549944,293.743286132812,20.5932861328124,2012-05-13,"Chilalantambo",2012-05-07,0,0,0,May 2012
"56",101,462089,8188978,1188,10862.85713,196111854.8,6450.007832,39.0788568769183,3.28999996185303,0.465857139655522,299.938860212053,286.595001220703,293.266930716378,20.1169307163784,2012-05-13,"Chilala",2012-05-07,1,2,2,May 2012
"57",114,481916,8202642,1114,7975.726801,228760980.8,5038.897067,32.1110003335135,0.0820000022649765,0.469714288200651,302.3154296875,287.428715297154,294.872072492327,21.722072492327,2012-05-20,"Simaubi",2012-05-14,2,6,6,May 2012
"58",113,464482,8178382,1207,10862.85713,248957046,3571.639345,39.7984281267438,1.10699999332428,0.440571427345276,301.678004673549,287.496429443359,294.587217058454,21.4372170584542,2012-05-20,"Siabunkululu",2012-05-14,1,3,3,May 2012
"59",112,494046,8189740,1109,6747.577047,180701266.4,1199.13243,39.8301429748535,0,0.47185714329992,301.607857840402,287.263288225446,294.435573032924,21.2855730329241,2012-05-20,"Nalube",2012-05-14,1,2,2,May 2012
